fname	inst_name	time	from_to	item	amount
644000solu.dat	644000	1->2	3->5	(102,	pic)	1.7
644000solu.dat	644000	1->2	3->5	(102,	vid)	111.8
644000solu.dat	644000	3->4	3->5	(102,	vid)	115.2
644000solu.dat	644000	5->6	108->1	(108,	vid)	2107.03
644000solu.dat	644000	6->7	3->5	(102,	vid)	115.2
644000solu.dat	644000	7->8	3->5	(102,	vid)	115.2
644000solu.dat	644000	8->9	3->5	(102,	vid)	115.2
644000solu.dat	644000	17->18	1->5	(108,	vid)	115.2
644000solu.dat	644000	21->22	1->5	(108,	vid)	115.2
644000solu.dat	644000	38->39	1->5	(108,	vid)	115.2
644000solu.dat	644000	42->43	1->5	(108,	vid)	115.2
644000solu.dat	644000	46->47	1->5	(108,	vid)	115.2
644000solu.dat	644000	48->49	1->5	(108,	vid)	115.2
644000solu.dat	644000	50->51	1->5	(108,	vid)	115.2
644000solu.dat	644000	54->55	108->1	(108,	vid)	2222.23
644000solu.dat	644000	55->56	2->5	(108,	vid)	115.2
644000solu.dat	644000	57->58	1->5	(108,	vid)	115.2
644000solu.dat	644000	58->59	108->2	(108,	vid)	2222.23
644000solu.dat	644000	60->61	108->2	(108,	vid)	2222.23
644000solu.dat	644000	60->61	3->5	(102,	vid)	115.2
644000solu.dat	644000	61->62	3->5	(102,	vid)	115.2
644000solu.dat	644000	62->63	3->5	(102,	vid)	115.2
644000solu.dat	644000	63->64	3->5	(102,	vid)	115.2
644000solu.dat	644000	64->65	3->5	(102,	vid)	115.2
644000solu.dat	644000	65->66	3->5	(102,	vid)	115.2
644000solu.dat	644000	66->67	3->5	(102,	vid)	115.2
644000solu.dat	644000	67->68	3->5	(102,	vid)	115.2
644000solu.dat	644000	68->69	3->5	(102,	vid)	115.2
644000solu.dat	644000	69->70	3->5	(102,	vid)	115.2
644000solu.dat	644000	70->71	1->5	(108,	vid)	115.2
644000solu.dat	644000	72->73	108->2	(108,	vid)	2222.23
644000solu.dat	644000	75->76	102->3	(102,	vid)	2222.23
644000solu.dat	644000	83->84	102->3	(102,	vid)	2222.23
644000solu.dat	644000	83->84	3->5	(102,	vid)	115.2
644000solu.dat	644000	84->85	1->5	(108,	vid)	115.2
644000solu.dat	644000	85->86	3->5	(102,	vid)	115.2
644000solu.dat	644000	86->87	3->5	(102,	vid)	115.2
644000solu.dat	644000	87->88	3->5	(102,	vid)	115.2
644000solu.dat	644000	88->89	1->5	(108,	vid)	115.2
644000solu.dat	644000	89->90	3->5	(102,	vid)	115.2
644000solu.dat	644000	90->91	3->5	(102,	vid)	115.2
644000solu.dat	644000	91->92	3->5	(102,	vid)	115.2
644000solu.dat	644000	92->93	3->5	(102,	vid)	115.2
644000solu.dat	644000	93->94	102->3	(102,	vid)	2222.23
644000solu.dat	644000	96->97	102->3	(102,	vid)	2222.23
644000solu.dat	644000	96->97	3->5	(102,	vid)	115.2
644000solu.dat	644000	97->98	3->5	(102,	vid)	115.2
644000solu.dat	644000	98->99	1->8	(108,	vid)	3062.05
644000solu.dat	644000	98->99	2->8	(108,	vid)	6666.68
644000solu.dat	644000	98->99	3->8	(102,	vid)	8234.53
644000solu.dat	644000	98->99	5->7	(102,	pic)	1.7
644000solu.dat	644000	98->99	5->7	(102,	vid)	2876.6
644000solu.dat	644000	98->99	5->8	(108,	pic)	1.7
644000solu.dat	644000	98->99	5->8	(108,	vid)	1382.4
367000solu.dat	367000	0->1	103->6	(103,	pic)	1.7
367000solu.dat	367000	0->1	107->5	(107,	vid)	113.5
367000solu.dat	367000	1->2	107->5	(107,	vid)	115.2
367000solu.dat	367000	1->2	5->9	(107,	vid)	113.5
367000solu.dat	367000	1->2	6->9	(103,	pic)	1.7
367000solu.dat	367000	2->3	103->6	(103,	vid)	115.2
